TransactionNo,Items,DateTime,Daypart,DayType,Season
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend,Spring
58,Tea,2016-10-30 12:59:29,Afternoon,Weekend,Spring
58,Soup,2016-10-30 12:59:29,Afternoon,Weekend,Spring
59,Tea,2016-10-30 13:02:04,Afternoon,Weekend,Spring
60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend,Spring
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,Spring
60,Juice,2016-10-30 13:14:04,Afternoon,Weekend,Spring
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,Spring
61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend,Spring
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend,Spring
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,Spring
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,Spring
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,Spring
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend,Spring
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,Spring
63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend,Spring
64,Cake,2016-10-30 13:34:07,Afternoon,Weekend,Spring
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend,Spring
65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend,Spring
65,Tea,2016-10-30 13:37:25,Afternoon,Weekend,Spring
65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend,Spring
66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend,Spring
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend,Spring
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend,Spring
67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend,Spring
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend,Spring
67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend,Spring
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend,Spring
68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend,Spring
68,Tea,2016-10-30 13:49:36,Afternoon,Weekend,Spring
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend,Spring
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend,Spring
69,Bread,2016-10-30 13:51:49,Afternoon,Weekend,Spring
69,Tea,2016-10-30 13:51:49,Afternoon,Weekend,Spring
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend,Spring
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend,Spring
71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend,Spring
72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend,Spring
72,Bread,2016-10-30 14:21:38,Afternoon,Weekend,Spring
73,Bread,2016-10-30 14:22:39,Afternoon,Weekend,Spring
74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend,Spring
74,Bread,2016-10-30 14:24:03,Afternoon,Weekend,Spring
75,Jam,2016-10-30 14:32:26,Afternoon,Weekend,Spring
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend,Spring
76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend,Spring
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend,Spring
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend,Spring
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend,Spring
79,Tea,2016-10-30 14:45:44,Afternoon,Weekend,Spring
79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend,Spring
79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend,Spring
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend,Spring
80,Bread,2016-10-30 14:48:40,Afternoon,Weekend,Spring
80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend,Spring
81,Coffee,2016-10-31 08:28:31,Morning,Weekday,Spring
81,Cake,2016-10-31 08:28:31,Morning,Weekday,Spring
82,Tartine,2016-10-31 08:47:05,Morning,Weekday,Spring
82,Bread,2016-10-31 08:47:05,Morning,Weekday,Spring
83,Coffee,2016-10-31 08:57:47,Morning,Weekday,Spring
83,Bread,2016-10-31 08:57:47,Morning,Weekday,Spring
84,Bread,2016-10-31 09:04:06,Morning,Weekday,Spring
85,Coffee,2016-10-31 09:10:09,Morning,Weekday,Spring
85,Coffee,2016-10-31 09:10:09,Morning,Weekday,Spring
85,Pastry,2016-10-31 09:10:09,Morning,Weekday,Spring
85,Medialuna,2016-10-31 09:10:09,Morning,Weekday,Spring
86,Juice,2016-10-31 09:11:08,Morning,Weekday,Spring
87,Bread,2016-10-31 09:12:56,Morning,Weekday,Spring
88,Coffee,2016-10-31 09:16:01,Morning,Weekday,Spring
88,Coffee,2016-10-31 09:16:01,Morning,Weekday,Spring
88,Jam,2016-10-31 09:16:01,Morning,Weekday,Spring
89,Bread,2016-10-31 09:19:41,Morning,Weekday,Spring
90,Bread,2016-10-31 09:20:12,Morning,Weekday,Spring
90,Coffee,2016-10-31 09:20:12,Morning,Weekday,Spring
91,Tea,2016-10-31 09:22:48,Morning,Weekday,Spring
92,Coffee,2016-10-31 09:27:11,Morning,Weekday,Spring
93,Bread,2016-10-31 09:29:23,Morning,Weekday,Spring
93,Coke,2016-10-31 09:29:23,Morning,Weekday,Spring
94,Coffee,2016-10-31 09:39:09,Morning,Weekday,Spring
94,Coffee,2016-10-31 09:39:09,Morning,Weekday,Spring
95,Tea,2016-10-31 09:43:37,Morning,Weekday,Spring
95,Pastry,2016-10-31 09:43:37,Morning,Weekday,Spring
95,Farm House,2016-10-31 09:43:37,Morning,Weekday,Spring
96,Pastry,2016-10-31 09:46:48,Morning,Weekday,Spring
96,Pastry,2016-10-31 09:46:48,Morning,Weekday,Spring
96,Coffee,2016-10-31 09:46:48,Morning,Weekday,Spring
96,Juice,2016-10-31 09:46:48,Morning,Weekday,Spring
97,Coffee,2016-10-31 09:51:11,Morning,Weekday,Spring
97,Pastry,2016-10-31 09:51:11,Morning,Weekday,Spring
97,Juice,2016-10-31 09:51:11,Morning,Weekday,Spring
98,Farm House,2016-10-31 09:52:22,Morning,Weekday,Spring
99,Pastry,2016-10-31 09:56:37,Morning,Weekday,Spring
99,Pastry,2016-10-31 09:56:37,Morning,Weekday,Spring
99,Coffee,2016-10-31 09:56:37,Morning,Weekday,Spring
99,Bread,2016-10-31 09:56:37,Morning,Weekday,Spring
100,Bread,2016-10-31 09:58:06,Morning,Weekday,Spring
101,Coffee,2016-10-31 10:04:02,Morning,Weekday,Spring
101,Pastry,2016-10-31 10:04:02,Morning,Weekday,Spring
102,Farm House,2016-10-31 10:04:44,Morning,Weekday,Spring
103,Bread,2016-10-31 10:07:40,Morning,Weekday,Spring
104,Coffee,2016-10-31 10:12:48,Morning,Weekday,Spring
104,Coffee,2016-10-31 10:12:48,Morning,Weekday,Spring
104,Medialuna,2016-10-31 10:12:48,Morning,Weekday,Spring
104,Muffin,2016-10-31 10:12:48,Morning,Weekday,Spring
104,Coffee,2016-10-31 10:12:48,Morning,Weekday,Spring
105,Coffee,2016-10-31 10:21:29,Morning,Weekday,Spring
105,Tea,2016-10-31 10:21:29,Morning,Weekday,Spring
105,Cake,2016-10-31 10:21:29,Morning,Weekday,Spring
106,Coffee,2016-10-31 10:24:21,Morning,Weekday,Spring
106,Coffee,2016-10-31 10:24:21,Morning,Weekday,Spring
106,Pastry,2016-10-31 10:24:21,Morning,Weekday,Spring
106,Pastry,2016-10-31 10:24:21,Morning,Weekday,Spring
107,Coffee,2016-10-31 10:27:30,Morning,Weekday,Spring
107,Tea,2016-10-31 10:27:30,Morning,Weekday,Spring
108,Farm House,2016-10-31 10:31:05,Morning,Weekday,Spring
108,Muffin,2016-10-31 10:31:05,Morning,Weekday,Spring
109,Bread,2016-10-31 10:35:23,Morning,Weekday,Spring
109,Muffin,2016-10-31 10:35:23,Morning,Weekday,Spring
109,Pastry,2016-10-31 10:35:23,Morning,Weekday,Spring
110,Pastry,2016-10-31 10:36:37,Morning,Weekday,Spring
111,Coffee,2016-10-31 10:38:09,Morning,Weekday,Spring
112,Coffee,2016-10-31 10:59:17,Morning,Weekday,Spring
113,Coffee,2016-10-31 11:02:37,Morning,Weekday,Spring
113,Cake,2016-10-31 11:02:37,Morning,Weekday,Spring
114,Farm House,2016-10-31 11:05:45,Morning,Weekday,Spring
115,Bread,2016-10-31 11:08:53,Morning,Weekday,Spring
116,Coffee,2016-10-31 11:11:01,Morning,Weekday,Spring
117,Cookies,2016-10-31 11:13:08,Morning,Weekday,Spring
117,Cake,2016-10-31 11:13:08,Morning,Weekday,Spring
117,Coffee,2016-10-31 11:13:08,Morning,Weekday,Spring
117,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday,Spring
118,Cookies,2016-10-31 11:18:29,Morning,Weekday,Spring
118,Cookies,2016-10-31 11:18:29,Morning,Weekday,Spring
118,Tea,2016-10-31 11:18:29,Morning,Weekday,Spring
118,Pastry,2016-10-31 11:18:29,Morning,Weekday,Spring
119,Coffee,2016-10-31 11:25:56,Morning,Weekday,Spring
119,Coffee,2016-10-31 11:25:56,Morning,Weekday,Spring
119,Muffin,2016-10-31 11:25:56,Morning,Weekday,Spring
120,Farm House,2016-10-31 11:29:01,Morning,Weekday,Spring
121,Coffee,2016-10-31 11:30:59,Morning,Weekday,Spring
121,Bread,2016-10-31 11:30:59,Morning,Weekday,Spring
122,Cookies,2016-10-31 11:37:30,Morning,Weekday,Spring
123,Jam,2016-10-31 11:42:05,Morning,Weekday,Spring
123,Coffee,2016-10-31 11:42:05,Morning,Weekday,Spring
123,Coffee,2016-10-31 11:42:05,Morning,Weekday,Spring
123,Juice,2016-10-31 11:42:05,Morning,Weekday,Spring
124,Coffee,2016-10-31 11:43:10,Morning,Weekday,Spring
124,Soup,2016-10-31 11:43:10,Morning,Weekday,Spring
125,Tea,2016-10-31 11:47:18,Morning,Weekday,Spring
126,Coffee,2016-10-31 11:52:43,Morning,Weekday,Spring
126,Jam,2016-10-31 11:52:43,Morning,Weekday,Spring
127,Farm House,2016-10-31 11:53:11,Morning,Weekday,Spring
128,Tartine,2016-10-31 11:55:00,Morning,Weekday,Spring
128,Coffee,2016-10-31 11:55:00,Morning,Weekday,Spring
128,Tea,2016-10-31 11:55:00,Morning,Weekday,Spring
129,Coffee,2016-10-31 11:59:23,Morning,Weekday,Spring
129,Coffee,2016-10-31 11:59:23,Morning,Weekday,Spring
129,Cake,2016-10-31 11:59:23,Morning,Weekday,Spring
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday,Spring
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday,Spring
130,Muffin,2016-10-31 12:03:12,Afternoon,Weekday,Spring
131,Bread,2016-10-31 12:08:28,Afternoon,Weekday,Spring
131,Coffee,2016-10-31 12:08:28,Afternoon,Weekday,Spring
132,Tea,2016-10-31 12:14:20,Afternoon,Weekday,Spring
132,Juice,2016-10-31 12:14:20,Afternoon,Weekday,Spring
132,Pick and Mix Bowls,2016-10-31 12:14:20,Afternoon,Weekday,Spring
132,Cookies,2016-10-31 12:14:20,Afternoon,Weekday,Spring
133,Hearty & Seasonal,2016-10-31 12:16:32,Afternoon,Weekday,Spring
133,Soup,2016-10-31 12:16:32,Afternoon,Weekday,Spring
134,Hearty & Seasonal,2016-10-31 12:19:37,Afternoon,Weekday,Spring
134,Tea,2016-10-31 12:19:37,Afternoon,Weekday,Spring
134,Farm House,2016-10-31 12:19:37,Afternoon,Weekday,Spring
135,Bread,2016-10-31 12:20:21,Afternoon,Weekday,Spring
136,Tea,2016-10-31 12:27:41,Afternoon,Weekday,Spring
136,Soup,2016-10-31 12:27:41,Afternoon,Weekday,Spring
137,Farm House,2016-10-31 12:37:07,Afternoon,Weekday,Spring
138,Soup,2016-10-31 12:43:35,Afternoon,Weekday,Spring
138,Hearty & Seasonal,2016-10-31 12:43:35,Afternoon,Weekday,Spring
138,Coffee,2016-10-31 12:43:35,Afternoon,Weekday,Spring
139,Bread,2016-10-31 12:50:57,Afternoon,Weekday,Spring
139,Muffin,2016-10-31 12:50:57,Afternoon,Weekday,Spring
139,Hearty & Seasonal,2016-10-31 12:50:57,Afternoon,Weekday,Spring
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday,Spring
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday,Spring
140,Cookies,2016-10-31 12:53:33,Afternoon,Weekday,Spring
141,Bread,2016-10-31 12:54:28,Afternoon,Weekday,Spring
142,Tea,2016-10-31 12:56:47,Afternoon,Weekday,Spring
142,Muffin,2016-10-31 12:56:47,Afternoon,Weekday,Spring
143,Tea,2016-10-31 12:59:08,Afternoon,Weekday,Spring
144,Soup,2016-10-31 13:02:11,Afternoon,Weekday,Spring
144,Hearty & Seasonal,2016-10-31 13:02:11,Afternoon,Weekday,Spring
145,Coffee,2016-10-31 13:05:49,Afternoon,Weekday,Spring
145,Tea,2016-10-31 13:05:49,Afternoon,Weekday,Spring
145,Focaccia,2016-10-31 13:05:49,Afternoon,Weekday,Spring
146,Sandwich,2016-10-31 13:08:30,Afternoon,Weekday,Spring
147,Tartine,2016-10-31 13:09:31,Afternoon,Weekday,Spring
147,Coffee,2016-10-31 13:09:31,Afternoon,Weekday,Spring
148,Fudge,2016-10-31 13:21:17,Afternoon,Weekday,Spring
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday,Spring
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday,Spring
149,Coffee,2016-10-31 13:26:03,Afternoon,Weekday,Spring
150,Bread,2016-10-31 13:31:33,Afternoon,Weekday,Spring
151,Coke,2016-10-31 13:50:17,Afternoon,Weekday,Spring
151,Soup,2016-10-31 13:50:17,Afternoon,Weekday,Spring
152,Muffin,2016-10-31 13:51:18,Afternoon,Weekday,Spring
153,Tea,2016-10-31 13:55:22,Afternoon,Weekday,Spring
153,Coffee,2016-10-31 13:55:22,Afternoon,Weekday,Spring
153,Cookies,2016-10-31 13:55:22,Afternoon,Weekday,Spring
153,Muffin,2016-10-31 13:55:22,Afternoon,Weekday,Spring
154,Mighty Protein,2016-10-31 14:00:21,Afternoon,Weekday,Spring
154,Hearty & Seasonal,2016-10-31 14:00:21,Afternoon,Weekday,Spring
154,Coffee,2016-10-31 14:00:21,Afternoon,Weekday,Spring
154,Coke,2016-10-31 14:00:21,Afternoon,Weekday,Spring
155,Tea,2016-10-31 14:01:30,Afternoon,Weekday,Spring
155,Muffin,2016-10-31 14:01:30,Afternoon,Weekday,Spring
155,Sandwich,2016-10-31 14:01:30,Afternoon,Weekday,Spring
156,Coffee,2016-10-31 14:04:16,Afternoon,Weekday,Spring
156,Muffin,2016-10-31 14:04:16,Afternoon,Weekday,Spring
157,Coffee,2016-10-31 14:05:07,Afternoon,Weekday,Spring
157,Bread,2016-10-31 14:05:07,Afternoon,Weekday,Spring
158,Coffee,2016-10-31 14:20:29,Afternoon,Weekday,Spring
158,Muffin,2016-10-31 14:20:29,Afternoon,Weekday,Spring
159,Bread,2016-10-31 14:22:31,Afternoon,Weekday,Spring
159,Hot chocolate,2016-10-31 14:22:31,Afternoon,Weekday,Spring
159,Cookies,2016-10-31 14:22:31,Afternoon,Weekday,Spring
160,Mineral water,2016-10-31 14:35:27,Afternoon,Weekday,Spring
160,Muffin,2016-10-31 14:35:27,Afternoon,Weekday,Spring
161,Tea,2016-10-31 14:42:34,Afternoon,Weekday,Spring
162,Muffin,2016-10-31 14:44:48,Afternoon,Weekday,Spring
163,Coffee,2016-10-31 14:47:16,Afternoon,Weekday,Spring
163,Juice,2016-10-31 14:47:16,Afternoon,Weekday,Spring
164,Coffee,2016-10-31 14:47:36,Afternoon,Weekday,Spring
164,Muffin,2016-10-31 14:47:36,Afternoon,Weekday,Spring
165,Tea,2016-10-31 14:48:49,Afternoon,Weekday,Spring
166,Coffee,2016-10-31 14:49:28,Afternoon,Weekday,Spring
166,Muffin,2016-10-31 14:49:28,Afternoon,Weekday,Spring
167,Sandwich,2016-10-31 14:50:42,Afternoon,Weekday,Spring
167,Hearty & Seasonal,2016-10-31 14:50:42,Afternoon,Weekday,Spring
167,Bread,2016-10-31 14:50:42,Afternoon,Weekday,Spring
167,Mineral water,2016-10-31 14:50:42,Afternoon,Weekday,Spring
168,Tea,2016-10-31 14:56:25,Afternoon,Weekday,Spring
168,Coffee,2016-10-31 14:56:25,Afternoon,Weekday,Spring
169,Mineral water,2016-10-31 15:05:17,Afternoon,Weekday,Spring
170,Coffee,2016-10-31 15:16:49,Afternoon,Weekday,Spring
171,Soup,2016-10-31 15:20:16,Afternoon,Weekday,Spring
171,Tea,2016-10-31 15:20:16,Afternoon,Weekday,Spring
172,Bread,2016-10-31 17:06:47,Evening,Weekday,Spring
172,Coffee,2016-10-31 17:06:47,Evening,Weekday,Spring
173,Bread,2016-10-31 17:08:09,Evening,Weekday,Spring
173,Muffin,2016-10-31 17:08:09,Evening,Weekday,Spring
174,Coffee,2016-10-31 17:40:21,Evening,Weekday,Spring
175,Bread,2016-10-31 17:49:42,Evening,Weekday,Spring
176,Cookies,2016-10-31 18:22:24,Evening,Weekday,Spring
176,Coffee,2016-10-31 18:22:24,Evening,Weekday,Spring
178,Coffee,2016-01-11 07:51:20,Morning,Weekday,Summer
178,Pastry,2016-01-11 07:51:20,Morning,Weekday,Summer
179,Coffee,2016-01-11 08:20:50,Morning,Weekday,Summer
179,Pastry,2016-01-11 08:20:50,Morning,Weekday,Summer
180,Jam,2016-01-11 08:22:28,Morning,Weekday,Summer
180,Tea,2016-01-11 08:22:28,Morning,Weekday,Summer
181,Tea,2016-01-11 08:45:20,Morning,Weekday,Summer
181,Tea,2016-01-11 08:45:20,Morning,Weekday,Summer
182,Pastry,2016-01-11 09:07:47,Morning,Weekday,Summer
182,Pastry,2016-01-11 09:07:47,Morning,Weekday,Summer
182,Ella's Kitchen Pouches,2016-01-11 09:07:47,Morning,Weekday,Summer
183,Pastry,2016-01-11 09:09:26,Morning,Weekday,Summer
184,Farm House,2016-01-11 09:26:03,Morning,Weekday,Summer
184,Tea,2016-01-11 09:26:03,Morning,Weekday,Summer
185,Tea,2016-01-11 09:29:25,Morning,Weekday,Summer
185,Victorian Sponge,2016-01-11 09:29:25,Morning,Weekday,Summer
186,Tea,2016-01-11 09:43:13,Morning,Weekday,Summer
186,Pastry,2016-01-11 09:43:13,Morning,Weekday,Summer
187,Bread,2016-01-11 10:02:27,Morning,Weekday,Summer
188,Coffee,2016-01-11 10:04:05,Morning,Weekday,Summer
189,Bread,2016-01-11 10:29:02,Morning,Weekday,Summer
189,Coffee,2016-01-11 10:29:02,Morning,Weekday,Summer
190,Coffee,2016-01-11 10:34:53,Morning,Weekday,Summer
190,Pastry,2016-01-11 10:34:53,Morning,Weekday,Summer
190,Pastry,2016-01-11 10:34:53,Morning,Weekday,Summer
191,Soup,2016-01-11 10:50:50,Morning,Weekday,Summer
191,Tea,2016-01-11 10:50:50,Morning,Weekday,Summer
192,Bread,2016-01-11 10:56:08,Morning,Weekday,Summer
193,Coffee,2016-01-11 11:00:48,Morning,Weekday,Summer
194,Bread,2016-01-11 11:04:36,Morning,Weekday,Summer
194,Bread,2016-01-11 11:04:36,Morning,Weekday,Summer
195,Bread,2016-01-11 11:06:09,Morning,Weekday,Summer
195,Scandinavian,2016-01-11 11:06:09,Morning,Weekday,Summer
196,Bread,2016-01-11 11:08:18,Morning,Weekday,Summer
196,Cake,2016-01-11 11:08:18,Morning,Weekday,Summer
196,Cookies,2016-01-11 11:08:18,Morning,Weekday,Summer
197,Coffee,2016-01-11 11:10:11,Morning,Weekday,Summer
197,Coffee,2016-01-11 11:10:11,Morning,Weekday,Summer
197,Tea,2016-01-11 11:10:11,Morning,Weekday,Summer
198,Coffee,2016-01-11 11:11:58,Morning,Weekday,Summer
198,Cookies,2016-01-11 11:11:58,Morning,Weekday,Summer
